Country,Growth Rate,TFP Growth,Capital Deepening,TFP Share,Capital Share
Australia,1.28,1.43,0.26,1.12,0.2
Austria,0.97,0.62,0.44,0.64,0.45
Belgium,0.72,-0.03,0.12,-0.05,0.17
Canada,0.93,0.27,0.45,0.29,0.48
Denmark,1.19,0.47,0.13,0.39,0.11
Finland,1.44,0.94,0.4,0.65,0.28
France,0.93,0.53,0.13,0.57,0.14
Germany,1.13,1.17,0.32,1.03,0.28
Greece,1.0,-0.48,1.16,-0.49,1.17
Iceland,1.36,1.09,-0.34,0.8,-0.25
Ireland,2.75,3.09,0.05,1.12,0.02
Italy,0.48,-0.91,0.85,-1.88,1.77
Japan,0.84,-0.43,0.79,-0.51,0.95
Netherlands,0.89,0.48,0.43,0.54,0.49
New Zealand,0.79,0.85,-0.01,1.07,-0.01
Norway,1.24,0.78,0.39,0.63,0.32
Portugal,1.36,-0.09,0.86,-0.06,0.63
Spain,0.95,-0.61,0.85,-0.64,0.89
Sweden,1.87,1.89,-0.17,1.01,-0.09
Switzerland,0.5,0.21,0.16,0.41,0.32
United Kingdom,1.39,1.15,0.03,0.82,0.02
United States,1.66,1.44,0.07,0.87,0.04
Average,1.17,0.63,0.34,0.38,0.38
